Class,reclean_text
normal,تحسي مذيعة عم انتقم أذاع نشره سم تسمم خاص قال جبران باسيل
hate,زال الخرا انهمر ابو فلتر حتي استحات مرحاض عامه المجارير
hate,هءيل خبيث خنزور حلو حل بارض خراب
hate,شاغل فاسد عاهر ملك جبران سيل العدرا تحمك
hate,الله سامح ربط حمار وفلتك
hate,عنصر حق فرنك فوت حساب شوفيبس خدوة حب حم مرجعة ادخل
normal,أهم عامل دمار داخلي للبلدانا
normal,تغريد وحد صالح لبنان منفع بدل ثرير نسنة ضرك اهتمام وضع داخلي ولكنك
normal,شغلة مشغلة بوق
hate,حرم وضل
hate,الله لعن شرفك سعدان الجاهليه صرماي عتيق عقاب وهاب وهاب قاتل ابو دياب
hate,أودع مليار عشان حزب شيطان لبنان مر مرحلة صعب توقف دعم إيران إثر حصار
hate,شو توقيت مناسب قصه هبل نسوان رجل قرود عايشين سوا شو عمل قريه نسوان لحالهن
hate,هلق مين داس دنبك
normal,شكر معاليك ضوى عالاشي حله بلد تعطى امل ببكرا
normal,الله الله أيود دبي مثيل عالم الله حفظ وراشد أدام عزه امين
normal,معالي وزير تخبيص خارجي
normal,عش معالي وزير
hate,رد سعودي كندا يخري انتي حمار بتستحمري
hate,جبران سيل عقلية فجه نتن تقولبا أفاد شكك تردد
normal,جبران سيل فاسد
hate,كول هوا عقبال جاك صرمايي
hate,أنفخ افاك حمار ابن الحمار
normal,مشكلة ولي أرشى فاسد جماعة فما تسترجي أجاب
hate,طالع حزب الله كلابك سوريا بكرا منرجع
hate,مشر شو منوب أنتى ضهر لبر فوت برندا أحسن يراشقوكي عون سترة صفر بيض
hate,اخ الحمدالل خسر كلاب موت بسلام
normal,أحاه سلام ميشال عون دور مساهمة شق وحد صف درزي قال إمثال مرصاد لكل
normal,وزير جبران سيل رد علي سءال توتر حد جنوبي لبنان اسراءيل تبقيه مستيقظ ليل قال
hate,أسود كلامك قلبك شكلك شفى حكى قتل صاحب وجه بشعي شارك قتل مليون شعب
normal,متل طايف القبو تبع جايون جيران شفط المي حتي طاف يوت وجي صرخ حمار هدول عم شفط سواد عيونك
hate,مصري مستشفى طبل نعرف حنجيبك
normal,اخي الحاج شعر محرج انتقاد تصريح جبران سيل داعي لأن تهاجم منتقد
hate,تيار فتن كذب تحريض تيار المستهبل
normal,متجرد إنسانيه تمام
normal,استاذ وءام معك حق لازم انسجن الحريري قرط شي مر فشلي خلقي حكي فساد حرك امل كرمال قنع
normal,الهبل طب كنعاني حثين عموري الخ الخ
hate,عرفة الجرثومهيلي نكب ديتول قضى ضحك سنان
hate,لعن شعب شو اهبل
normal,استاجر شخص ملحم حم فاسد شرعي وجود اعتبار رسمي تحيه شيخ عقل
normal,دني مقام مقام المختار خط احمر بننسا تضحية اشتراكي بنس آل جنبلاط
hate,سكووت ولاك كلب خميني
normal,قال ابو السن لبنان
normal,مش وزير وقف زمان موقف سعودي ضد ربيع عربي ظهور وقد عانينا شيخ الاخونج داخلي وخارجي
hate,لعمي قلبك شو بتنبح
normal,عم حكى منطلق طاءفي ولي شريك شوف سيد مقوم شو بعى رسل شيخ سعد مسءول رفيع حزب الله نقل حريري رسل نصرال معك ظالم مظلوم
normal,وجب قضاء محكمة صوص مال عام مغتصب ملك عامه
hate,يخربية ابيخك مفكر حالك أفاد طايف قسم كنا شحاد زلم ودع لانتخا
normal,هوي قتلن شردن دخول داعش رعب هوي لشردن
hate,عوي عوي
normal,هلق شو بدي اسال ناءب ابراهيم كنعان قدر فتح موضوع مليار ولي اخدن سنيوة إل مليار ولي اخدن جبران باسيل
normal,كلنا عمرك طويل
hate,لأن كلاب عالم متل طارق خوري وغيره
hate,عرب تقنى تخريب عرب جرب
normal,متقل خفف عق عرق زلم هالقد
hate,الله رفيق طلعلي حب شب حبال صوتي انا عم قلم جشعب نحح انخبز انعجن
hate,جبران سيل عم جنرال اسراءيل سابق عماد ميشال عون سياس زبل قدم سيد نصراللات علي طبق خيسة
normal,عنا جاسوس للتوزير
normal,صحيح جبران سيل شكل خطور اكتر عمو
normal,رح ظل إيران شوك صبي
normal,شي حد عتقد جبران سيل اكتر مءهل فيهن
hate,عرف بدي خبر انو واطي طلع عرص
hate,شو كلم خنزير تجى مفصل قياسة
hate,جوليت چوليت بني ادم براس بهيمه
normal,زلمي مشكلة زم حل انو إنكليزي صعب
normal,حق رفيق ندوووون حق
hate,زلم كميه قرف إخبار جبه الخرا فتح الشوءسمو قرف حسو حال اديش حمير متخلف قرن وسطي خربو عاحل
normal,برجل كها
hate,روح عمل شي شغلي أفاد أحسن جن تحليل حديث سيد كبير هبيله
normal,معت منيح سماح سيد شو قال فخام رءيس وزير جبران سيل عتقد كلام كلام سيد
hate,كلب كلب مجوسي حكى إنسانيه
normal,جبران سيل وبعد
normal,هيدي صورة حبيبة أللى جالط صبح ومسا
normal,شوفة مبسوط كلام العماد عثمان حريري غيرن متل شي ولد صغير حاط عينو صندوق فرجة عم
normal,وزير سيل غياب سوريا خسار علينا
hate,عاهر متلك ادعى عفه حرامي حلف بريهة
normal,قدك جبران سيل احبه تقييم سيد حسن
normal,جبران سيل ديكور لبناني محركة إيراني
normal,أوى قتل تخريب نال عظيم
normal,فخام رءيس ملقط وزير جبران سيل سبب نشاط جهد ذكاء مش عارف دولة الرءيس بري علي شو ملقط وزير ماليه
normal,صديقي أصطف كلام موزون منزقفلو عهد أقان أوفي
hate,انا مش أخ لزج زيهم
normal,افاتارك ولي شكل مكسور انفك
normal,التاكيد عدم وجود ترخيص واين ابن منطقه الاسف نبطي حجه كرمال خيم قرميد سجنوها
normal,دويل دويل معلمك
hate,قفك زغرتا فهام قا دعس برا زغرتا بزق عالم سمع كلم خاين
normal,امثالك صديق طبقة فاشل موجود سياسة أكيد دوله محك نسى ظلم حد
hate,خراس تشوش
hate,زعام تجرب بدن صاحب رجل مش صيصان خسء جبران باسيل
hate,كلب واطي إخلاق مجرم توام بشار الاسد كلب منحط درزي شركسي أرحل نرحلك جهنم ليد حز
normal,روقنا فكر إنسان نزلنا عصاية هراوة جلدناهن سلمي
normal,اصابني شك عاءل الاسد بناه لبناني
normal,بدك تسالي معلمك نهب دوله مرفق مرافة نهب إنسان دفع خوات إسالي احواض المرفا
hate,كمان خرسي
hate,بهيم شاعر عم حكى سوريا أرض مش نظام سفاح قاتل نقط سطر
normal,زلم موهاديلي طلع ضيعة مجهذ لعتقالك
normal,ياعيب الشوم قله حياء
normal,شامل روكز جبران باسيل
normal,الله الله تغريد الك جبران باسيل
hate,كمان خطر عبالي سءال حضرة وين صرماية قصد محكم دولي
normal,استاذ وءام بحر يحلي بطل فساد بلد هلاء انتي مصدق لح ليكافحوا فساد
normal,عم حكى حق
normal,كرمال هيك عم بدق جبران سيل قلا خصني شو بيحكي
normal,مقابل جبران سيل سي امن اسراءيل حق
normal,ادام الله ضحكتك
normal,حق باطل ذكر آنث بطاط باذنجان
normal,ترجم كامل مقطع تاني مر أصل مهنة والتحقق
normal,اكيد وطني ابن شهيد استشهد ضد عدو إسراءيلي مثلث خلد بركي عمل فحص دم وطني وب مستشفى شهيد رفيق الحريري
normal,جبران أسيل وافق رأي جود اسراءيل
normal,انتو جماع اوسكار خصكم علاق جبران سيل فينا
normal,قطر جهاز دعاءي جيد أطلق خبر مزيف مساعدة تمويل لبنان حتي جبران سيل صدق قط
hate,استهبل اهبل جد
hate,قنبل ذزي معا أفضل حل
hate,العما قلبك تقل دمك اسقلك
normal,تعدي ولي موجودي نهر الجاهلي صح
hate,لعن الاسد
normal,منطلب عدم تدخل لنك ضلل قضاء ساعي عم غسل ساعي عم فتح طريق ساعه
normal,كفو الله عرب درز شريف قطر باب عرب مغلقه
normal,احلي ديما الله ابسطك
normal,ويءام انا عملة وصل سوريا تخطى حدودك تدخل قسم مشيخ تاج راسك خلفوك
hate,دولة احترم سجن عميل قاتل مفتن خاين ماريونيت
normal,مشكلة دمشق مشكله نظام حاكم دمشق أمكن اختصار سوريا نظام شخص بشار الاسد
hate,ابنتى جنوب اول وحد اسراءيل وضد مقوم همك مفصوم ايمتي شرف وطني دب فجاه شفى أحقر منك
normal,جبران سيل حق اسراءيل عاش سلام جيران حق اسراءيل ضمن أمن
hate,أكبر رأس بلدك دسنا راسو جاي ضيعج كبر رأس
hate,وصل جحش درزي كلب بدك حكى دين إسلامي فشر فيصل جحش تكلم اسم دين إسلامي
hate,كول هوا صرماي سيد تاج راسك وراس رئيس عرب إنذال متخاذل سيد انت كنت
normal,جولان معن ارنب
normal,الامبرياليه صهيوني إقطاع الخ سمع سنة محارب ممتنع زاد سلطة مال وزاد فقرنا
normal,دولة احترم عم حكى عم ازتى سمك عم تبع رسالة احترم محبوس
normal,إعلام قمه عربي تنمويه أعلن اقتراح بناني سيقر شان أزم نازح لاجء أذاع وزير خارجيه جبران باسيل
normal,راجع حساب دكتور علي منافق
hate,مين قلك ناسر بيي ومين قلك تفجر مين عم باخد رايك أساس كول هوا قحط صفحة بدل تكامخ
normal,عدت فصدقت قلت وفعلت زعيم تملك ضمير قلب عقل ادامك الله سند وابا واخا
normal,رح وضل جبران سيل كابوسكن مياومو إعلام ورح بنى دولة حقيق تفوت عالسجن
hate,قلد كلامي غبي
hate,لعن روحك حافظ
hate,عيبو عليكي إيران عم حوى إرهابي سعودي درسي عندك عت لبرا
hate,لعن اقرفك
normal,قمه عربي اقتصادي تنمويه اجتماعي بنان مءتمر صحفي وزير الخارجيه جبران باسيل
hate,حد قلك كول هوا انا قلك هوا
hate,سليمان فرنجيه عبر كلب مسعور حاس شم قوي جد شم ريح كرسي رءاس جلس أبد خير
normal,لهيك لازم نغير إلنظظام معفن استبدل نظام مواطن تساوى قانون
hate,صحيح شك درز كلاب خونه
hate,عمرو اديب مسح طفل معجز جبران سيل أرض أخلى الي مايشتري تفرج
hate,حد غيرك أمير إرهاب مجرم سفاح طز بهيك بلد امتالك حمار
hate,رائع تسديد بنص وجه خنزير
hate,ضب سانك أحسن قبع شلوشو شليش طز بشار قاتل طفل
normal,كمان جبران سيل فتح تدريب شب لبناني شغل خدمة نفطي لأن عامل لبناني هيك القوان
normal,الخوازيق تكالب علينا
hate,بجد كلامك صحيح كلاب طبع كلاب كثر زمن اكيد
hate,خلص كول هوا عمي قلبك شو حاقد وسخ الله حشرك زاد اللي
normal,انو أحكى شرق رد غرب هيدا شعار انتخابي روح امك حمى لبنان رءيس قوي جيشو وطني لاءو لبان
normal,موقف وزير خارجي لبنان سيل جبران مءيد نظام سوري المجرم عجيب موقف عرب متعاطف
hate,أللى عم قول نوع تهكم بهل شو بدي اعمل راسك محدود
hate,صدقتي ديما أسف لبناني تخلف وعنصريه
normal,فتر كنت عم أحيا لواء عثمان لانو دخل ليد بيك زعمة وقلت بدنا هيك ضابط إكفاء هيقة
normal,جبران سيل ءكد جرة مر آخر حديث مءتمر صحفي ابو الغيط تاثير دولة غربي قرار قمه سابق
normal,أمير قطر أتى أمر أمريكي مهم محدد تحويل مءتمر منص ضد سوري تحريض رءيس منع
hate,لبناني مشرد بلد دخل بناني نشر فساد والرشوه
hate,فرقة ولد يهودي مات جريم مشفى انقصف ومة زلم جريم حرب فرقة تعفيش عفرين اكل خري برميل متفجر كيماوي جراءم حرب ضد إنسانيه
hate,زين ملفك اختلف صفه فقط اامير وانت مرتزق كلاك كشهاب دين واخيه
normal,أبقى جبران سيل كابوس سياسي إعلامي
normal,لمتكية طمن الله حمى لواء عثمان رحم وسام حسن القتله عدن خارج سجن
hate,بعدان مينك نكر بدون اسم وصور اسم منبقي منحكي روح ققبر
normal,إرهابي بشار الأسد الاسد مءيد داعم قتل طفل معذبي طفل سجن نظام سوري إرهابي
normal,العما طلع شب يعرفوا فرنساوي يعرفوا انكليزي
hate,اكيد خدم وقف برا شان هيك شفنا حد
hate,عشانك
hate,كول هوا ولاك درزي كلب
normal,ههه قصد مصلح
hate,دخل عرف معلمك مجرور مجرور الضاحيه مخبي خراس
normal,استاهل الدعس
normal,مينك شو تاريخ شو ماضيك شو أصلك شو فصل شغلو فتح مين صغير تهذيب
normal,رد عنيف علي وهاب إثر تعليق زيار أمير قطر
hate,وديع ساكت أحسن تاكل نصيب حد سكة الي غلط مندعسو
normal,تجيب لايكات ريتويتات حك عالي حرك متعود عنى أخد أيدك
normal,مو مشكلة رفيق رفع روح معنوي حشد فرض مواطن
hate,مصيب شخص بعث مذق أخواني قطري خرب يتك عفلق شكل الي
normal,شعب لبناني عندو اهضم زلمي جبران سيل انو جاي المريخ مهضوم هيك
hate,خاءن عميل بلدي روح فوت طيز بشار ريح منك
normal,طن حجم خصوصي بنان مستحيل حمل مسؤول سلام تحرير خصب وحد كامل بينما ساهى
normal,شو سر عمل جبران سيل مقابل محطه أجنبي حق إسراءيل بالوجود
hate,صغير فتنجي
normal,اووووووف سيد حسن ثبت صدق علاقة جبران سيل بويكيليكس ولي خاطب أميركا علن سر خطاب آخر
hate,ناقص وحد كلب متلك نقر عا حزب الله ضره كرامي شرف يوم شهيد ماجور متلك مصير آخر شي موة كلاب
hate,قال لعن روحك بشار تطلع عاهة قال أدعى لولي أمر فحاش لعن روحك بشار الأسد روح ابوك علي
normal,هلق جبران سيل سوريا خلص قمه اقتصادي عربي
normal,هاب استفراد تعيين مرحلة الغاءنا انتهيا
normal,عصر قله رجل انطق لحقيق الله حفظ
normal,حبا كره انشط وزير رءيس تيار ديبلوماسيتو بتتدرس
hate,عنى اهبل مصدق حالك
hate,كذاب منفقة قطري قذر وصل لحساب
normal,عساه الوجع هجع شاء الله
normal,الشام شام الدنيا عاصمة فخر
hate,قللو حمار انا أصل أفرج حمار معبي ببنطلون
normal,كلنا معك جبران باسيل
hate,صاروخ ماصار عنا شي اعرف ياحمار الله انتو مين معكن كلاب سعودي سلمان بغل باع شرف انصحك دراس تاريخ
hate,حمار الله عربي
hate,بيسي بيسي ناو قومي خراس بقا
hate,جد وقح
hate,قدح وجم تف برنامج محطه عم عرضض
hate,كول خراااااا
normal,رح أخلى صاحب جبران باسيل
normal,مصلح لبنان بدد استخراج نفط غاز وقف شحاد نقط ضعف لبنان أبقى رهن سياسة إقليمي
normal,عسلامة سلامتون أصل مش عالم
normal,ابن إمام مغيب سيد موسي الصدر نقبل نسمح أبقى وزير خارجيه لبناني جبران سيل إطلاق شعار
normal,مباشر تابع قمه اقتصادي
normal,قويه ياكبير
normal,تقعد معي كافي نص ساعي إيد عالار وايد عالوتساب تقلي ليش ساكت
hate,روح انتحر كب حالك بحر أطهر ارض انجس قوم
normal,أسف فنهاد المشنوق حكم أساس مسؤول طاءفة وطن فيدافع مرتكب واني
hate,رد شعرك شعرك أصلع وزيعة شعر مستعار
hate,اختي كريم أضح مره حميهة
normal,هيدا جيش إكتروني ضد وهاب شو قصة القافل مشى ووو نبح اني بحب وهاب هيدا جيش إكتروني خلني اكتب كلام
normal,مش معقول شو أشبه هالبوست
hate,سكتي وليك شرن هاد جوزي بدنا نضل سوريا طهر جرثوم
normal,عنجد شي بدي هني أذاع جديد لأن شي اهتم زعران سوق خبر مين هيدا
hate,ضب زعران حسون قدم زت حالك شيء نفق ياكزااااااااب
normal,مسلسل مكسيكي كرمال نائب لبناني تاكد زبل مغروز الله عافي
normal,عندما بدع لبناني مصلحة تجريه سيار نقل الموتي ضمن كفل جنه
normal,غريب شيطان معقول استخف عقل مناصرينكن شيخ عقل حط عقل الرحمن راسك الكن ال
hate,أنعل ابوكم ابو جيش اسراءيل كلاب
normal,توجه وزير خارجيه مغترب حكوم تصريف عمل جبران سيل سويسرا مشركة منتدي دافوس اقتصادي
hate,قصدو الاوباش أشبه رجا الزهيري إكلتو عمل ناءب معو مسلح فتح جبه سكر طريق نزل حضر أطلق نار عالم عمل نائب عم حكى منطلق طاءفي بدع سني وبش تعبير صوت معلوك قضاء الشو
normal,متقل طعم وفول مدام فيا انحنى
hate,ءام وهاب الطاءفي سبق ووصف مراه سعودي شوال فحم أسف إمارة
hate,عاجل شرموط مجرم حرب زار شرموط مجرم حرب تاني متله
hate,كول هوا كفن شرك احسن منفرجيك شرط مين منمشي لبنان عمل اسراءيل لمتلك
normal,عندما قضاء مستقل تبع خلال سياسي تعيين جسم قضاءي ممكن نتخلص
normal,لبقل رياض صرماي اجلكن
normal,عادل الله اقوي الله ظالم
hate,صه طبيل حنجيبك
normal,هاد عامل متل قرع اللي تباهى شعر أخة كون فاشل كليش افتخر إنجاز شيف تايلست الخ
normal,رءيس ميشال عون رءيس عربي أصيل
normal,فعل ناسب زمان زمان صوت رويبض عندما الساعه حجم كا
hate,سكر نيعك حقير عميل رخيص طبيل
normal,مش عزيزي
normal,حكى هالحكي شوفو شعب لبناني ولي عم بيموت قدام مستشفى ولي مش قادر دفع عاش ناكل
normal,طيب عقد جبران سيل مش هوي مسؤول تنظيم قمه منظم قمه
normal,معالي وزير نحتاج فكر سياسي جديد
normal,هاب اقترح عرض عماد عثمان علي طبيب نفسي
normal,لطالما حذى شريف آحر خير تراسان حكومة عرب مسلم خانع الذليله عش ياابن امي الاصيل حر آبي
normal,هههه هه مهزل قمه جبران سيل فاشل
hate,كول هوا عرص
normal,شو رايك تاخد وفد فنزويلا سلامي رفيق مادوروفيك طرء شي
normal,ممكن لاله عطتني عمر تقاعد وصار معي ضجر شديد
normal,ملك تبييض طنارة عقاب وهاب وهاب قاتل ابو دياب
normal,خلفي عرض زيء استعراض عالانسة غرام شتق بهدل عتويتر
normal,ءام جذوه رفع إنسان بنان ماانفك يلهمنا ثقاف وعي مقاوم جرح تغيير صوتك وءام
hate,كلب زاج كلب أرسل عالخ
normal,قال وزير سيل وزير خارجي فلسطين إيران استرج قال
normal,مليون مر جبران سيل ثأن وحد رياض سلامه
normal,منبر عظم قدرك تستكين
hate,عندك مذيع خبر أللى يوم معير شفاف طرمب لازم مكسيموم
hate,فيك اعتقد متل معروف عالم تعرف انو سعد هبيل أوليتو
normal,ءام شعبان زعام معروف وليد جنبلاط جد
normal,الله حكى صلك كرمال هيك عم حارب الضاحيه سلام رجل جبل ءام وهاب
normal,نحنا معك كبير
normal,كتب شاعر أديب عراقي كبير مظفر نائب عرف ماهى دمشق شقيق غداد لد مصيد بير
hate,جرعة ألزاءد هدف تعذب منشار وجب عطا جاءز نوبل قتل الرحيم الله اعلم طشم
normal,طن جميل شعب جميل هدونا بال سياسة شوي بيمشي حال شعب بدو حي هوى تبهد عباب مستشفى
normal,نن جماع قوة ولي يوم انتخاب رابط معلم
normal,اشترى جبران سيل بقر زرع باقي لعب ثلاجة فماه كميه زيت الموجوده بيض
normal,بدنا نضل نسمع تهويش لسان فالة جبران سيل لانو وصف كلمو كوزير خارجيه موقف رسمي دولة لببناني
normal,مياومو إعلام بدا ثور علي الي عم مول محطة تلفزيوني لبث شاءعة عهد فخام الرءيس علي زير الملك جبران
normal,حالة مر لبنان
normal,محلل غزى
hate,مدام جبران سيل سرق عمر مصراة قصر معراب استحي عيب الشوم شعب بومه
normal,أهل سهل أمير قمه أمير قطر
normal,هيدا حساب فخام رءيس ميشال عون إم حساب فخام جبران باسيل
normal,جبران سيل هدد اسراءيل أمن قال اسراءيل أراد ضمن أمن حق توقف
normal,اخي قلنالك قال نفوسك سوريا توفر بنزين طالع نازل طريق توفر تلفون فاكسة الله بارك
hate,عنجد مريض نفسي قعود ساكت شوي عقاب وهاب وهاب قاتل ابو دياب
normal,اسيد انت
normal,خلص قصة ابريق زيت قيمة معروف قي رخص حالك عنجد عقاب وهاب وهاب قاتل ابو دياب
normal,عمامة أسود طلب بالاب
normal,إيمك
normal,وفاء ياوءام وهاب
hate,اه هبيله
normal,نفع دواء عالج الكي
normal,هلقتني عرفنا جبران سيل شايف حال كبير
normal,أهم إشارة حديث سيد نصر الله ذكر وثاءق كيليكس نسبة ثقه رءيس عون وزير جبران باسيل
normal,واضح كتير متل شمس متلك متل شخص سمع وبينفذ
normal,حط سانك تمك أيدك راسك أجاب سير مستقبل
hate,بلد عم انهار وجود عهد قوي ليكو عالهييل العوني وين راسوا
normal,صحيح مي وانت فرقة مصلح سوريا مصلح
hate,لعن عرضك شو منافق بيار صوهيوشيوعي
hate,روحي انقبري انشغل شي تفكير خرير تركى تنظير فلسفتك ادخل ويلا عالمطبخ
hate,مضيف زمان عنا مجنقات خاري قال بدهن الكترونيه قال حاج اكل خرا
normal,آنت طلب سوري عود لبنان أراد اقبل تكلم صراخ اريد عقل
hate,كول هوا واسكت نباحك ازعجنا
normal,قلتلي جريد خبر
normal,استقبل رءيس حكوم مكلف سعد الحريري بيت وسط وزير خارجيه مغترب جبران باسيل
normal,جبران سيل سن معمر بناية رقم مبلغ مشروع قديم ناية جديد بترون وان
normal,إحلام امثالك
normal,خوش توانس الله
hate,اديش عثمان داعس علي راسك هاب المنافق حال عثمان الكسبان كر عقلك كنت
normal,تحول جبران سيل مرتزق نظام قطر
normal,سلام هضامة زناخ ميشان هيك رح لوك هون ابعنى عالشاشه
normal,جبران سيل زوجة والد ضابط سوري هيك بحب حافظ وبشار
normal,سءال مفخخ أغلب تويتري حبى جبران باسيل
hate,انتا فلسطيني شو دخلك يازنخ ملكوف خليج جاحد طنك مرتزقك كلب
normal,هلق بيدف دولر ماشي حال مرقل
normal,عمرك قاءد جبار
normal,نهبتني فامض أثري لاتعاسي
hate,رح ضلك عوى نبح شبع رص وضل صرماي شيخ سعد الحريري حثال متلك زم اندعس لكنك
normal,سوري بلد تصدي صمود سوري قاهر عدو صهيوني الله حمى
hate,ماحدا حمار غيرك ملكك بغل ابن صرم جايي ورا أبل غنم بدك حكى خراس وسد مك أحسن مادعس رقبة لعن شرفك
normal,تيار العوني كتير وزرا عدد عمبيغلطوا أهم وزير جبران سيل تصرف لبنان أمر جماع ممنع
normal,ياريت كنا قطري
normal,منكون هبل مفكر جبران سيل مش قابض حق تصارى خاص امن اسراءيل وحق بالوجود
normal,قال سيد نصر الله علاق تيار وطني حر شكل خاص جبران سيل كفيل خجل كثير مغرد فتنوي
hate,خاءن أبقى خاءن
normal,اسم الله شعل زكا
normal,هيدا قاهرقم
normal,مسكون لبنان
normal,جبران سيل رجل عنيد طالب استرداد حق مسيحي طاءف مكروه ترويكا الطاءف والفساد
normal,نحنا خلق حذيفه
hate,ساعي عم جرب اكتب تويت حكي سيل عم أطلع مسبة خصوصي شفى اللحيسه البلا شرف بلشو طبل
normal,جبران سيل مالء دني شاغل إنسان
hate,أجدب عم تجدب اجدب أزبط شي لنك فلاح ابن ضيع تاني شي فشرت
hate,لكا مرصاد الجبل قمه نضال غريب عنا مرتزق إيران الدروز احرار جهل تاريخ عبد علي المملوك
normal,قصدك قارطوا
normal,صايري شوي مبين عليكي الله عمر غفله
hate,اكيد اكبر كتير قدام عاهرة
hate,اخنزر خنزير أوسخ وساخ حثال أمع جعر نتن
normal,سيط هلق باف خطاب كلو مشعر شوة طاءف مشى حال تروح ريح
hate,أساس جحش بشار الأسد قمه خلق إيمان خراي شريك وشرفو
hate,هله كلب أمريكان عم اشتم الاستاذ بسام
hate,هاب الجحش ماع ماع ماع
normal,شو هالشي ولي عم بسمعوا
normal,تعالى صوت مديح مال خليجي استطاع إحصاء خون شكل أفضل
hate,انتي مسخر بشرفي
normal,عندو الوءام شي الاستاذ نشتكين وهاب
normal,الله اله كنت يقين انطق بطاءفيتك
normal,حرام شي ببكي حجر فيش حد خدم قلل هانم عرب مسلم
hate,هنن هالبهايم اكتر مخلوقات استعمل تكنولوجيا مشان أقنع حالهن بشر
normal,جيش أسود تعليق هيك
hate,معلمك عدو سوريا بغل حيوان روح شوف شارع حمص ولي قصف عدو شعب سوري لعن شرفكن كلاب
normal,فين تغريد قولت كلنا أحب احترم رايك تقولني مالم اقله
hate,ذميم كلكم زبله
normal,قمه عربي اقتصادي أراد نهاي البدايه
normal,فهم مخطء
normal,بدك تحرري قدس ديما سكربان كعب عالي
normal,قايم حق اكذبك
normal,أوع القاضي بحياتك
normal,متل اللي بده وجي تغزل مغول انو فتح طريقة تاجر امتزاج حضار سامح ديني صح كلام مقابل دبح مليون
normal,لع ولع ولع شحط عقاب وهاب وهاب قاتل ابو دياب
hate,واخر عاهر بوق إرهابي مجرم بشار الأسد رءيس عصاب الفقيه احقر إنسان اتفا بشر خراا علي ابو
hate,أمكن افضل بن حضان تعلم حمار متل امه
hate,كول خري ياكلب مختوم طيزك كلب إيجار سد نيع امزبل وقت بدك أجاب سير شيخ سعد نيعك بالديتول
normal,مياومو إعلام ذكر جبران سيل اخبارن برامج حد بيحضرن
normal,الله عظيم انا مش فهمان كلم قال هاب حد ترجمل
normal,قتل عنى لاءي حرز خلي عم هوشى منتسلي منزهق بلاهن
